BagelVLA (new)
Generated: 2025-10-28 10:26:43
Leaves: 67

PATH                                                                                             SHAPE       DTYPE          #ELEMS         BYTES  SHARDING
--------------------------------------------------------------------------------------------------------------------------------------------------------
modules_llm2vae/llm2vae/bias                                                                      (64)    bfloat16              64         128 B  SingleDeviceSharding
modules_llm2vae/llm2vae/kernel                                                               (3584,64)    bfloat16         229,376     448.00 KB  SingleDeviceSharding
modules_logits_head/weight                                                               (152064,3584)    bfloat16     544,997,376       1.02 GB  SingleDeviceSharding
modules_mixture_of_transformers/gen/final_rms/weight                                            (3584)    bfloat16           3,584       7.00 KB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/gen/k_norm/weight                      (28,128)    bfloat16           3,584       7.00 KB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/gen/k_proj/bias                        (28,512)    bfloat16          14,336      28.00 KB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/gen/k_proj/kernel                 (28,3584,512)    bfloat16      51,380,224      98.00 MB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/gen/o_proj/kernel                (28,3584,3584)    bfloat16     359,661,568     686.00 MB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/gen/q_norm/weight                      (28,128)    bfloat16           3,584       7.00 KB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/gen/q_proj/bias                       (28,3584)    bfloat16         100,352     196.00 KB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/gen/q_proj/kernel                (28,3584,3584)    bfloat16     359,661,568     686.00 MB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/gen/v_proj/bias                        (28,512)    bfloat16          14,336      28.00 KB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/gen/v_proj/kernel                 (28,3584,512)    bfloat16      51,380,224      98.00 MB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/txt/k_norm/weight                      (28,128)    bfloat16           3,584       7.00 KB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/txt/k_proj/bias                        (28,512)    bfloat16          14,336      28.00 KB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/txt/k_proj/kernel                 (28,3584,512)    bfloat16      51,380,224      98.00 MB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/txt/o_proj/kernel                (28,3584,3584)    bfloat16     359,661,568     686.00 MB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/txt/q_norm/weight                      (28,128)    bfloat16           3,584       7.00 KB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/txt/q_proj/bias                       (28,3584)    bfloat16         100,352     196.00 KB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/txt/q_proj/kernel                (28,3584,3584)    bfloat16     359,661,568     686.00 MB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/txt/v_proj/bias                        (28,512)    bfloat16          14,336      28.00 KB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/attn/txt/v_proj/kernel                 (28,3584,512)    bfloat16      51,380,224      98.00 MB  SingleDeviceSharding
modules_mixture_of_transformers/layers/MoTBlock_0/gen/input_rms/weight                       (28,3584)    bfloat16         100,352     196.00 KB  SingleDeviceSharding
